Longevity,Education,Sex,Age,Pet,Children,Activity,Sport,Family,IsAlone,Age*Education,Status
0,3,0,73,1,0,725,1,1,0,6,3
1,1,1,75,1,0,7128,0,1,0,3,3
1,3,1,73,0,0,793,1,0,1,6,4
1,1,1,74,1,0,5310,0,1,0,2,2
0,3,0,74,0,0,805,1,0,1,6,4
0,3,0,73,0,0,846,1,0,1,6,4
0,1,0,77,0,0,5186,0,0,1,4,5
0,3,0,70,3,1,2108,1,4,0,0,1
1,3,1,73,0,2,1113,1,2,0,6,3
1,2,1,72,1,0,3007,1,1,0,2,2
1,3,1,71,1,1,1670,1,2,0,3,2
1,1,1,77,0,0,2655,1,0,1,4,6
0,3,0,73,0,0,805,1,0,1,6,4
0,3,0,75,1,5,3128,1,6,0,9,4
0,3,1,72,0,0,785,1,0,1,3,3
1,2,1,77,0,0,1600,1,0,1,8,6
0,3,0,70,4,1,2913,1,5,0,0,1
1,2,0,73,0,0,1300,1,0,1,4,4
0,3,1,74,1,0,1800,1,1,0,6,3
1,3,1,73,0,0,723,1,0,1,6,4
0,2,0,74,0,0,2600,1,0,1,4,4
1,2,0,74,0,0,1300,1,0,1,4,4
1,3,1,72,0,0,803,1,0,1,3,3
1,1,0,74,0,0,3550,0,0,1,2,3
0,3,1,71,3,1,2108,1,4,0,3,2
1,3,1,75,1,5,3139,1,6,0,9,4
0,3,0,73,0,0,723,1,0,1,6,4
0,1,0,72,3,2,26300,0,5,0,1,1
1,3,1,73,0,0,788,1,0,1,6,4
0,3,0,73,0,0,790,1,0,1,6,4
0,1,0,75,0,0,2772,1,0,1,3,5
1,1,1,73,1,0,14652,0,1,0,2,2
1,3,1,73,0,0,775,1,0,1,6,4
0,2,0,78,0,0,1050,1,0,1,8,6
0,1,0,74,1,0,8217,0,1,0,2,2
0,1,0,75,1,0,5200,0,1,0,3,3
1,3,0,73,0,0,723,1,0,1,6,4
0,3,0,73,0,0,805,1,0,1,6,4
0,3,1,72,2,0,1800,1,2,0,3,2
1,3,1,72,1,0,1124,1,1,0,3,2
0,3,1,75,1,0,948,1,1,0,9,4
0,2,1,73,1,0,2100,1,1,0,4,3
0,3,0,73,0,0,790,1,0,1,6,4
1,2,1,70,1,2,4158,0,3,0,0,0
1,3,1,72,0,0,788,1,0,1,3,3
0,3,0,73,0,0,805,1,0,1,6,4
0,3,0,73,1,0,1550,1,1,0,6,3
1,3,1,73,0,0,775,1,0,1,6,4
0,3,0,73,2,0,2168,1,2,0,6,3
0,3,1,72,1,0,1780,1,1,0,3,2
0,3,0,71,4,1,3969,0,5,0,3,1
0,3,0,73,0,0,780,1,0,1,6,4
1,1,1,76,1,0,7673,0,1,0,3,3
1,2,1,74,1,0,2600,1,1,0,4,3
0,1,0,78,0,1,6198,0,1,0,4,4
1,1,0,73,0,0,3550,0,0,1,2,3
1,2,1,73,0,0,1050,1,0,1,4,4
0,3,0,74,0,0,723,1,0,1,6,4
1,2,1,71,1,2,2775,1,3,0,2,2
0,3,0,71,5,2,4690,0,7,0,3,1
0,3,0,73,0,0,723,1,0,1,6,4
1,1,1,75,0,0,8000,0,0,1,3,4
0,1,0,76,1,0,8348,0,1,0,3,3
0,3,0,71,3,2,2790,1,5,0,3,2
0,1,0,73,0,0,2772,1,0,1,2,4
1,3,0,73,1,1,1525,1,2,0,6,3
1,2,1,74,0,0,1050,1,0,1,4,4
0,3,0,72,0,0,816,1,0,1,3,3
1,3,1,72,4,2,793,1,6,0,3,2
0,3,0,73,2,0,866,1,2,0,6,3
0,2,0,74,0,0,1050,1,0,1,4,4
